title,price,rating,url
Original Lenovo Memory Card 1TB 2TB High Speed Micro TF SD Card 512GB SD Card V60 U3 TF Card For Nintendo Switch Ps4 Ps5 Game,$0.85,4.5,https://www.aliexpress.com/item/1005006435686930.html
Motion Sensor Light Wireless LED Night Light Type C Rechargeable Light Cabinet Wardrobe Lamp Staircase Backlight For Kitchen LED,$0.99,4.5,https://www.aliexpress.com/item/1005005588986583.html?pdp_npi=4%40dis%21USD%21%244.93%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000033665819648%21btf%21%21%21
Wireless Car Vacuum Cleaner 6000Pa Cordless Handheld Cleaning Robot Auto Vacuums Strong Suction Cleaner For Car,$0.99,4.3,https://www.aliexpress.com/item/1005007049253710.html?pdp_npi=4%40dis%21USD%21%246.18%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000041441944059%21btf%21%21%21
USB Type C Cable 120W 10A Fast Charging Wire Mobile Phone USB For Huawei P30 Xiaomi Realme Samsung Poco x6 USB C Data Cable Cord,$0.99,4.5,https://www.aliexpress.com/item/1005006065386047.html?pdp_npi=4%40dis%21USD%21%243.52%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000035618131206%21btf%21%21%21
150mm 100mm Electronic Digital Caliper Carbon Fiber Dial Vernier Caliper Gauge Micrometer Measuring Tool Digital Ruler,$0.99,4.5,https://www.aliexpress.com/item/1005005671598813.html?pdp_npi=4%40dis%21USD%21%246.14%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000033964322735%21btf%21%21%21
4 Lighting Mode Strong LED Flashlights Telescopic Zoom Tactical Torch USB 18650 Portable Spotlight Long-Range Camping Flashlight,$0.99,4.5,https://www.aliexpress.com/item/1005006406906483.html?pdp_npi=4%40dis%21USD%21%246.03%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000037054204928%21btf%21%21%21
10 Pairs Unisex Casual Plain Color Boat Socks Thin Breathable Comfy Anti Odor Sweat-absorbing Low Cut Ankle Socks For Men Women,$0.99,4.6,https://www.aliexpress.com/item/1005006033891567.html?pdp_npi=4%40dis%21USD%21%246.93%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000035416473929%21btf%21%21%21
Tape Bluetooth USB LED Strip Light 5050 SMD 5V USB RGB Lights Flexible LED Lamp Tape Ribbon RGB Self-adhesive TV Desktop Diode,$0.99,4.6,https://www.aliexpress.com/item/1005005174831591.html?pdp_npi=4%40dis%21USD%21%249.42%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000031970857793%21btf%21%21%21
Car Wash Microfiber Towel 30x30/60CM Car Cleaning Drying Cloth Hemming Car Care Cloth Detailing Car Wash Towel,$0.99,4.6,https://www.aliexpress.com/item/1005006472481159.html?pdp_npi=4%40dis%21USD%21%245.46%21%240.99%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000037324559943%21btf%21%21%21
LED Motion Sensor Light Wireless LED Night Light Type C Rechargeable Light Cabinet Wardrobe Lamp Staircase Backlight For Kitchen,$1.34,4.5,https://www.aliexpress.com/item/1005006919919661.html?pdp_npi=4%40dis%21USD%21%243.84%21%241.34%21%21%21%21%21%4021015b7d17251068821005454ebeea%2112000038728752538%21btf%21%21%21
